ticker,annual_return,annual_volatility,sharpe_ratio,sector
AAPL,0.3258712463440445,0.32249609271659474,1.0104657194418036,Technology
MSFT,0.2736726189265917,0.30504353719994465,0.8971592102513863,Technology
NVDA,0.5080756346250425,0.5151132288544414,1.0449085060111314,Technology
INTC,0.040488200647360625,0.3902858948720519,0.10373985116893333,Technology
AMD,0.41253552870627397,0.5289479748584042,0.7735280347525538,Technology
JNJ,0.06813280436429972,0.20609553206123105,0.34331517409949197,Healthcare
PFE,-0.018008710152171585,0.2675393072627606,-0.12226854349628281,Healthcare
UNH,0.16957229333487478,0.2957127020312938,0.5734359470190421,Healthcare
MRK,0.11349665439578518,0.23089533163100437,0.4915502344463381,Healthcare
ABBV,0.1574834349673369,0.2574738612491424,0.6116482434500387,Healthcare
JPM,0.1382904644533953,0.3183904815815619,0.4343423326176587,Finance
BAC,0.08440906297258004,0.35716389996057346,0.23633145170017958,Finance
GS,0.18572678659887124,0.3274885041631768,0.5671245989945639,Finance
WFC,0.03884718869406565,0.3805211014424324,0.10208944667407018,Finance
C,0.028550572218188745,0.3902080136646304,0.0731675701635562,Finance
XOM,0.1236305089305433,0.34283489508545434,0.3606123842782322,Energy
CVX,0.10389538700158282,0.35768926690037456,0.2904626909884894,Energy
COP,0.15736072114442454,0.44920996132330315,0.35030550231091084,Energy
EOG,0.10208940950495028,0.4906526008827003,0.20806861987746125,Energy
SLB,0.09544892177282435,0.5031415260836558,0.18970591140782594,Energy
AMZN,0.13637378578469675,0.35213830975173,0.38727335824621045,Consumer
HD,0.1646545310592344,0.2889623521420484,0.5698130910088015,Consumer
MCD,0.12768822536100283,0.23028878400670313,0.5544700142985953,Consumer
NKE,0.08691906675411931,0.33003565321834744,0.26336265765994304,Consumer
SBUX,0.10028816318849337,0.30812235734746,0.3254816172764819,Consumer
