Price,AAPL,MSFT,NVDA,INTC,AMD,JNJ,PFE,UNH,MRK,ABBV,JPM,BAC,GS,WFC,C,XOM,CVX,COP,EOG,SLB,AMZN,HD,MCD,NKE,SBUX
Ticker,AAPL,MSFT,NVDA,INTC,AMD,JNJ,PFE,UNH,MRK,ABBV,JPM,BAC,GS,WFC,C,XOM,CVX,COP,EOG,SLB,AMZN,HD,MCD,NKE,SBUX
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-02,37.503719329833984,94.39714813232422,3.376983642578125,40.51803970336914,18.829999923706055,104.38789367675781,29.294363021850586,215.4531707763672,57.638221740722656,64.78944396972656,80.83650970458984,20.945085525512695,145.39166259765625,38.47613525390625,41.63267135620117,50.00183868408203,80.60425567626953,49.3965950012207,67.1004638671875,30.385847091674805,76.95649719238281,144.2037811279297,148.79774475097656,67.1541748046875,54.91714096069336
2019-01-03,33.76808547973633,90.92446899414062,3.1729555130004883,38.28903579711914,17.049999237060547,102.72911834716797,28.474790573120117,209.5777130126953,56.45633316040039,62.65471267700195,79.68767547607422,20.609424591064453,143.26187133789062,38.172847747802734,40.878257751464844,49.2341194152832,79.06045532226562,48.461360931396484,66.62651824951172,30.71255874633789,75.01399993896484,141.0254669189453,147.81736755371094,65.9663314819336,52.535011291503906
2019-01-04,35.209617614746094,95.1532974243164,3.376239776611328,40.63853073120117,19.0,104.45326232910156,29.125022888183594,212.02874755859375,58.156734466552734,64.67325592041016,82.62541961669922,21.465347290039062,147.94400024414062,39.304039001464844,42.8770637512207,51.04937744140625,80.69892120361328,49.68496322631836,69.5516357421875,31.92963981628418,78.76950073242188,145.21575927734375,150.67401123046875,67.68915557861328,54.27678680419922
2019-01-07,35.1312370300293,95.27466583251953,3.554980516433716,40.82786560058594,20.56999969482422,103.78324127197266,29.280807495117188,212.435791015625,57.51622772216797,65.6171875,82.68284606933594,21.448566436767578,148.76382446289062,39.049922943115234,43.25038528442383,51.31483840942383,81.7475357055664,49.46674346923828,69.98854064941406,32.81179428100586,81.47550201416016,148.0763397216797,152.3135528564453,68.65939331054688,54.27678680419922
2019-01-08,35.80095672607422,95.96543884277344,3.466477632522583,41.08605194091797,20.75,106.1937484741211,29.416276931762695,215.27621459960938,57.94321060180664,65.9221420288086,82.52691650390625,21.406614303588867,148.21444702148438,38.967960357666016,43.13371658325195,51.68793869018555,81.39069366455078,50.12920379638672,70.73648834228516,33.220218658447266,82.8290023803711,148.7871856689453,152.63475036621094,69.5752182006836,54.319461822509766
2019-01-09,36.40890884399414,97.33770751953125,3.5346522331237793,41.31842803955078,20.190000534057617,105.35208892822266,29.355316162109375,215.58590698242188,57.500972747802734,63.75836944580078,82.38743591308594,21.61639976501465,149.14410400390625,39.181060791015625,43.84923553466797,51.96057891845703,82.48299407958984,51.789276123046875,73.45427703857422,33.68580627441406,82.97100067138672,150.32623291015625,152.37271118164062,69.4482650756836,54.54145050048828
2019-01-10,36.52527618408203,96.7122802734375,3.600346803665161,41.79177474975586,19.739999771118164,105.98945617675781,28.657672882080078,216.67425537109375,56.79182434082031,64.04154968261719,82.37922668457031,21.591222763061523,148.74693298339844,39.14008331298828,43.89590072631836,51.69511032104492,82.61408996582031,52.950531005859375,73.4024658203125,34.02070617675781,82.81099700927734,149.7658233642578,153.4376678466797,69.29411315917969,54.80614471435547
2019-01-11,36.16668701171875,95.96543884277344,3.689594030380249,42.110191345214844,20.270000457763672,106.02214050292969,29.04374885559082,219.15185546875,57.112083435058594,64.12144470214844,81.98532104492188,21.842967987060547,149.5329132080078,39.23844909667969,44.0903434753418,51.458335876464844,81.95140838623047,51.74250030517578,71.73621368408203,34.09422302246094,82.02799987792969,150.05856323242188,154.13067626953125,68.94955444335938,54.41339111328125
2019-01-14,35.62284469604492,95.26530456542969,3.729506254196167,41.61104202270508,20.229999542236328,104.82096099853516,28.69830894470215,219.49693298339844,55.945457458496094,62.29862976074219,82.8305435180664,22.12827491760254,151.0457305908203,39.689273834228516,45.83249282836914,51.393768310546875,81.35427856445312,51.13459396362305,72.95069885253906,33.75114822387695,80.8604965209961,149.55673217773438,153.1587371826172,68.99488067626953,54.106014251708984
2019-01-15,36.3519172668457,98.02851104736328,3.715376615524292,41.826194763183594,20.3799991607666,105.70345306396484,28.94215202331543,227.29249572753906,56.80708312988281,62.84253692626953,83.43780517578125,22.27931785583496,152.0514373779297,39.07451629638672,47.73796844482422,51.422481536865234,81.64556884765625,51.46192932128906,73.00995635986328,34.07788848876953,83.72799682617188,147.5995635986328,152.98971557617188,70.61797332763672,54.712223052978516
